run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR13337972	PRJEB77087	SAMEA115792479	ERX12708946	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13337972/ERR13337972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13337972/ERR13337972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337972/58_S58_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337972/58_S58_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/072/ERR13337972/ERR13337972.bam
ERR13337976	PRJEB77087	SAMEA115792427	ERX12708950	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/076/ERR13337976/ERR13337976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/076/ERR13337976/ERR13337976_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337976/6_S6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337976/6_S6_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/076/ERR13337976/ERR13337976.bam
ERR13337977	PRJEB77087	SAMEA115792428	ERX12708951	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/077/ERR13337977/ERR13337977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/077/ERR13337977/ERR13337977_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337977/7_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337977/7_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/077/ERR13337977/ERR13337977.bam
ERR13337978	PRJEB77087	SAMEA115792429	ERX12708952	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/078/ERR13337978/ERR13337978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/078/ERR13337978/ERR13337978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337978/8_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337978/8_S8_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/078/ERR13337978/ERR13337978.bam
ERR13337927	PRJEB77087	SAMEA115792438	ERX12708901	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13337927/ERR13337927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13337927/ERR13337927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337927/17_S17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337927/17_S17_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/027/ERR13337927/ERR13337927.bam
ERR13337929	PRJEB77087	SAMEA115792440	ERX12708903	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13337929/ERR13337929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13337929/ERR13337929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337929/19_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337929/19_S19_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/029/ERR13337929/ERR13337929.bam
ERR13337930	PRJEB77087	SAMEA115792422	ERX12708904	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13337930/ERR13337930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13337930/ERR13337930_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337930/1_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337930/1_S1_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/030/ERR13337930/ERR13337930.bam
ERR13337935	PRJEB77087	SAMEA115792445	ERX12708909	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13337935/ERR13337935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13337935/ERR13337935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337935/24_S24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337935/24_S24_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/035/ERR13337935/ERR13337935.bam
ERR13337938	PRJEB77087	SAMEA115792448	ERX12708912	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/038/ERR13337938/ERR13337938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/038/ERR13337938/ERR13337938_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337938/27_S27_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337938/27_S27_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/038/ERR13337938/ERR13337938.bam
ERR13337939	PRJEB77087	SAMEA115792449	ERX12708913	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13337939/ERR13337939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13337939/ERR13337939_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337939/28_S28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337939/28_S28_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/039/ERR13337939/ERR13337939.bam
ERR13337942	PRJEB77087	SAMEA115792451	ERX12708916	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13337942/ERR13337942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13337942/ERR13337942_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337942/30_S30_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337942/30_S30_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/042/ERR13337942/ERR13337942.bam
ERR13337947	PRJEB77087	SAMEA115792456	ERX12708921	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13337947/ERR13337947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13337947/ERR13337947_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337947/35_S35_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337947/35_S35_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/047/ERR13337947/ERR13337947.bam
ERR13337948	PRJEB77087	SAMEA115792457	ERX12708922	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13337948/ERR13337948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13337948/ERR13337948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337948/36_S36_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337948/36_S36_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/048/ERR13337948/ERR13337948.bam
ERR13337956	PRJEB77087	SAMEA115792464	ERX12708930	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/056/ERR13337956/ERR13337956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/056/ERR13337956/ERR13337956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337956/43_S43_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337956/43_S43_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/056/ERR13337956/ERR13337956.bam
